Post_ID,Platform,Hashtag,Content_Type,Region,Views,Likes,Shares,Comments,Engagement_Level,Engagement_Rate
Post_1,tiktok,#challenge,video,uk,4163464,339431,53135,19346,high,0.09893492534101411
Post_2,instagram,#education,shorts,india,4155940,215240,65860,27239,medium,0.07419236081367873
Post_3,twitter,#challenge,video,brazil,3666211,327143,39423,36223,medium,0.10986519870242056
Post_4,youtube,#education,shorts,australia,917951,127125,11687,36806,low,0.1913152227079659
Post_5,tiktok,#dance,post,brazil,64866,171361,69581,6376,medium,3.8127524434989053
Post_6,instagram,#challenge,shorts,australia,1323566,136282,86979,47129,low,0.2042890192102245
Post_7,youtube,#comedy,tweet,japan,627233,84121,97973,32648,medium,0.342364001894033
Post_8,youtube,#gaming,shorts,uk,2066886,317502,45222,33638,high,0.19176771239439427
Post_9,twitter,#education,live stream,india,2169523,496078,96041,30174,medium,0.2868340183533431
Post_10,tiktok,#gaming,shorts,india,3898384,8634,69378,42700,low,0.03096462534219307
Post_11,instagram,#comedy,live stream,germany,4070332,379894,46012,25242,high,0.11083813310560416
Post_12,twitter,#music,reel,australia,4585669,465871,69083,8999,medium,0.11862020568863561
Post_13,youtube,#viral,shorts,canada,4105651,195560,37627,49089,high,0.06875304306186765
Post_14,youtube,#fitness,reel,japan,1633015,312907,45774,30725,high,0.23845831177300883
Post_15,twitter,#comedy,post,germany,2471790,370802,54110,17081,high,0.17881494787178523
Post_16,youtube,#gaming,live stream,canada,3079923,124237,44062,26702,medium,0.06331359582690865
Post_17,twitter,#dance,reel,uk,294870,213142,20351,20767,low,0.8622782921287347
Post_18,tiktok,#tech,shorts,uk,2051091,24472,54704,41737,medium,0.05895057800945935
Post_19,tiktok,#fashion,post,usa,3461154,165335,50077,19505,low,0.06787244947783312
Post_20,youtube,#education,tweet,uk,3143932,298685,84720,37162,low,0.13377102303739394
Post_21,twitter,#gaming,video,brazil,14095,268310,90495,16968,low,26.660021284143312
